year,supply_scenario,allocation_scenario,combined_scenario,largest_frontier_run_flop,frontier_run_share_of_total_compute,training_compute_flop_year,frontier_lab_training_compute_flop_year
2030,chip_bottleneck,allocation_training_race,chip_bottleneck × allocation_training_race,4.991008139615014e+28,0.04256,3.752637698958657e+29,2.62684638927106e+29
2030,chip_bottleneck,allocation_rnd_acceleration,chip_bottleneck × allocation_rnd_acceleration,1.4353839198516863e+28,0.01224,2.3453985618491608e+29,1.4072391371094965e+29
2031,chip_bottleneck,allocation_base,chip_bottleneck × allocation_base,1.769432594027442e+28,0.01183803075,3.497602225796055e+29,2.0810733243486527e+29
2031,chip_bottleneck,allocation_inference_heavy,chip_bottleneck × allocation_inference_heavy,7.814121378065912e+27,0.005227879800000001,2.5708871061406897e+29,1.401133472846676e+29
2031,chip_bottleneck,allocation_training_race,chip_bottleneck × allocation_training_race,6.2158439489578e+28,0.04158584625,4.827886833043273e+29,3.3553813489650746e+29
2031,chip_bottleneck,allocation_rnd_acceleration,chip_bottleneck × allocation_rnd_acceleration,1.7111625409456792e+28,0.011448186749999997,2.959509575673585e+29,1.760908197525783e+29
2032,chip_bottleneck,allocation_base,chip_bottleneck × allocation_base,1.9902233076206633e+28,0.010775052,4.21131066594863e+29,2.4846732929096916e+29
2032,chip_bottleneck,allocation_inference_heavy,chip_bottleneck × allocation_inference_heavy,8.519047047271698e+27,0.0046122048,3.029188373752524e+29,1.635761721826363e+29
2032,chip_bottleneck,allocation_training_race,chip_bottleneck × allocation_training_race,7.499396751154672e+28,0.04060167,6.021435425873919e+29,4.154790443853004e+29
2032,chip_bottleneck,allocation_rnd_acceleration,chip_bottleneck × allocation_rnd_acceleration,1.9736152282417406e+28,0.010685136,3.6202495198505776e+29,2.1359472167118405e+29
2033,chip_bottleneck,allocation_base,chip_bottleneck × allocation_base,2.186050754092445e+28,0.009769470749999998,4.967549213538746e+29,2.906016289920166e+29
2033,chip_bottleneck,allocation_inference_heavy,chip_bottleneck × allocation_inference_heavy,9.044447732449973e+27,0.004041967800000001,3.490710258162362e+29,1.867529988116864e+29
2033,chip_bottleneck,allocation_training_race,chip_bottleneck × allocation_training_race,8.862801184030846e+28,0.039607898749999995,7.361818429073188e+29,5.042845623915133e+29
2033,chip_bottleneck,allocation_rnd_acceleration,chip_bottleneck × allocation_rnd_acceleration,2.226499359208902e+28,0.009950235750000001,4.34101147489422e+29,2.5394917128131187e+29
