year,supply_scenario,allocation_scenario,combined_scenario,usable_compute_flop_year,inference_share,training_share,ai_rnd_experiment_share,post_training_share,safety_eval_share,reserved_idle_fragmented_share,inference_compute_flop_year,training_compute_flop_year,ai_rnd_experiment_compute_flop_year,post_training_compute_flop_year,safety_eval_compute_flop_year,reserved_idle_fragmented_compute_flop_year,frontier_lab_training_share,frontier_lab_training_compute_flop_year,largest_run_concentration,cluster_contiguity_factor,largest_frontier_run_flop,frontier_run_share_of_total_compute,binding_constraint
2035,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,7.046390551756982e+30,0.55,0.19,0.19,0.04,0.01,0.02,3.875514803466341e+30,1.3388142048338267e+30,1.3388142048338267e+30,2.818556220702793e+29,7.046390551756982e+28,1.4092781103513965e+29,0.575,7.698181677794503e+29,0.095,0.825,6.033449889971441e+28,0.008562468749999998,capex
2036,base_input_case,allocation_base,base_input_case × allocation_base,8.660711983359137e+30,0.63,0.204,0.1,0.04,0.01,0.016,5.456248549516256e+30,1.766785244605264e+30,8.660711983359138e+29,3.464284793343655e+29,8.660711983359138e+28,1.385713917337462e+29,0.5700000000000001,1.0070675894250005e+30,0.07,0.87,6.1330416195982535e+28,0.007081452,capex
2036,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,8.660711983359137e+30,0.748,0.132,0.06,0.03,0.01,0.02,6.478212563552634e+30,1.1432139818034062e+30,5.196427190015482e+29,2.598213595007741e+29,8.660711983359138e+28,1.7321423966718275e+29,0.52,5.944712705377712e+29,0.046,0.8200000000000001,2.2423456324684734e+28,0.0025891008000000007,capex
2036,base_input_case,allocation_training_race,base_input_case × allocation_training_race,8.660711983359137e+30,0.47000000000000003,0.33799999999999997,0.112,0.04,0.02,0.02,4.070534632178795e+30,2.927320650375388e+30,9.699997421362234e+29,3.464284793343655e+29,1.7321423966718275e+29,1.7321423966718275e+29,0.67,1.9613048357515102e+30,0.16999999999999998,0.95,3.167507309738688e+29,0.03657328999999999,capex
2036,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,8.660711983359137e+30,0.55,0.188,0.192,0.04,0.01,0.02,4.763391590847526e+30,1.628213852871518e+30,1.6628567008049546e+30,3.464284793343655e+29,8.660711983359138e+28,1.7321423966718275e+29,0.5700000000000001,9.280818961367653e+29,0.09,0.8200000000000001,6.849244393489328e+28,0.007908408,capex
2037,base_input_case,allocation_base,base_input_case × allocation_base,1.0434606184450067e+31,0.635,0.19799999999999998,0.1,0.04,0.01,0.017,6.625974927125793e+30,2.066052024521113e+30,1.0434606184450068e+30,4.173842473780027e+29,1.0434606184450067e+29,1.7738830513565115e+29,0.5650000000000001,1.1673193938544289e+30,0.065,0.865,6.563253291946526e+28,0.006289890749999999,chip
2037,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,1.0434606184450067e+31,0.756,0.124,0.06,0.03,0.01,0.02,7.888562275444251e+30,1.2938911668718083e+30,6.26076371067004e+29,3.13038185533502e+29,1.0434606184450067e+29,2.0869212368900134e+29,0.515,6.663539509389814e+29,0.041999999999999996,0.8150000000000001,2.280929574064133e+28,0.0021859278,chip
2037,base_input_case,allocation_training_race,base_input_case × allocation_training_race,1.0434606184450067e+31,0.465,0.34099999999999997,0.114,0.04,0.02,0.02,4.852091875769281e+30,3.5582007088974725e+30,1.1895451050273077e+30,4.173842473780027e+29,2.0869212368900134e+29,2.0869212368900134e+29,0.665,2.3662034714168193e+30,0.165,0.95,3.709023941445865e+29,0.035545413750000004,chip
2037,base_input_case,allocation_rnd_acceleration,base_input_case × allocation_rnd_acceleration,1.0434606184450067e+31,0.55,0.186,0.194,0.04,0.01,0.02,5.739033401447537e+30,1.9408367503077124e+30,2.024313599783313e+30,4.173842473780027e+29,1.0434606184450067e+29,2.0869212368900134e+29,0.5650000000000001,1.0965727639238576e+30,0.08499999999999999,0.8150000000000001,7.596507822082524e+28,0.00728010975,chip
2038,base_input_case,allocation_base,base_input_case × allocation_base,1.2147724012591914e+31,0.64,0.192,0.1,0.04,0.01,0.018000000000000002,7.774543368058825e+30,2.3323630104176474e+30,1.2147724012591914e+30,4.8590896050367654e+29,1.2147724012591914e+29,2.1865903222665447e+29,0.56,1.3061232858338825e+30,0.060000000000000005,0.86,6.739596154902834e+28,0.0055480320000000005,chip
2038,base_input_case,allocation_inference_heavy,base_input_case × allocation_inference_heavy,1.2147724012591914e+31,0.764,0.116,0.06,0.03,0.01,0.02,9.280861145620222e+30,1.409135985460662e+30,7.288634407555148e+29,3.644317203777574e+29,1.2147724012591914e+29,2.4295448025183827e+29,0.51,7.186593525849376e+29,0.038,0.81,2.212033487256438e+28,0.0018209448,chip
2038,base_input_case,allocation_training_race,base_input_case × allocation_training_race,1.2147724012591914e+31,0.46,0.344,0.11599999999999999,0.04,0.02,0.02,5.58795304579228e+30,4.178817060331618e+30,1.4091359854606618e+30,4.8590896050367654e+29,2.4295448025183827e+29,2.4295448025183827e+29,0.66,2.758019259818868e+30,0.16,0.95,4.1921892749246794e+29,0.03451008,chip
